city,country,lat,lng
Bengbu,32.9354,117.3531,China
Bengkulu,-3.7956,102.2592,Indonesia
Beni,0.5,29.4667,Congo (Kinshasa)
Benin City,6.3176,5.6145,Nigeria
Berlin,52.5167,13.3833,Germany
Betim,-19.9678,-44.1978,Brazil
Bezwāda,16.5167,80.6167,India
Bhayandar,19.3,72.85,India
Bhāgalpur,25.25,87.0167,India
Bhātpāra,22.8667,88.4167,India
Bhīlwāra,25.35,74.6333,India
Binzhou,37.3806,118.0125,China
Birmingham,33.5277,-86.7987,United States
Biên Hòa,10.9277,106.8681,Vietnam
Biñan,14.3333,121.0833,Philippines
Blantyre,-15.7861,35.0058,Malawi
Boa Vista,2.82,-60.6719,Brazil
Bochum,51.4833,7.2167,Germany
Bologna,44.4939,11.3428,Italy
Botou,38.074,116.57,China
Brahmapur,19.32,84.8,India
Brampton,43.6833,-79.7667,Canada
Brasília,-15.7939,-47.8828,Brazil
Bratislava,48.1447,17.1128,Slovakia
Bremen,53.1153,8.7975,Germany
Brest,52.0847,23.6569,Belarus
Brisbane,-27.4678,153.0281,Australia
Bristol,51.45,-2.5833,United Kingdom
Bronx,40.8501,-73.8662,United States
Brooklyn,40.6501,-73.9496,United States
Bryansk,53.25,34.3667,Russia
Bucheon,37.4989,126.7831,"Korea, South"
Buenaventura,3.8772,-77.0267,Colombia
Buenos Aires,-34.5997,-58.3819,Argentina
Bukavu,-2.5,28.8667,Congo (Kinshasa)
Busan,35.1,129.0403,"Korea, South"
Butuan,8.9534,125.5288,Philippines
Bydgoszcz,53.1167,18.0,Poland
Bắc Ninh,21.1861,106.0763,Vietnam
Cainta,14.5667,121.1167,Philippines
Calabar,4.95,8.325,Nigeria
Calgary,51.05,-114.0667,Canada
Campina Grande,-7.2306,-35.8811,Brazil
Campo Grande,-20.4686,-54.6222,Brazil
Campos,-21.7523,-41.3304,Brazil
Canberra,-35.2931,149.1269,Australia
Canoas,-29.92,-51.18,Brazil
Capitol Hill,15.2137,145.7546,Northern Mariana Islands
Caracas,10.5,-66.9333,Venezuela
Cariacica,-20.2639,-40.42,Brazil
Casablanca,33.5992,-7.62,Morocco
Castries,14.0167,-60.9833,Saint Lucia
Caucaia,-3.7328,-38.6558,Brazil
Celaya,20.5222,-100.8122,Mexico
Chandīgarh,30.7353,76.7911,India
Changchun,43.9,125.2,China
Changde,29.0397,111.6839,China
Changhua,24.0667,120.5333,Taiwan
Changping,40.2248,116.1944,China
Changsha,22.3762,112.6877,China
Changsha,28.1987,112.9709,China
Changwon,35.2281,128.6811,"Korea, South"
Changzhi,36.1953,113.097,China
Changzhou,31.8122,119.9692,China
Chaohucun,31.6783,117.7353,China
Chaoyang,41.5757,120.4486,China
Chattanooga,35.0657,-85.2488,United States
Chattogram,22.335,91.8325,Bangladesh
Chengdu,30.66,104.0633,China
Chengguan,35.4599,113.7975,China
Chengjiao,35.4043,114.0593,China
Chicago,41.8373,-87.6862,United States
Chimalhuacán,19.4167,-98.9,Mexico
Chimbote,-9.0745,-78.5936,Peru
Chinchvad,18.6278,73.8131,India
Chinju,35.1928,128.0847,"Korea, South"
Chisinau,47.0228,28.8353,Moldova
Chita,52.0333,113.5,Russia
Chizhou,30.6583,117.4849,China
Ch’ŏngjin,41.8,129.7831,"Korea, North"
Cilegon,-6.0027,106.0112,Indonesia
Cimahi,-6.8833,107.5333,Indonesia
Cincinnati,39.1413,-84.5061,United States
Cirebon,-6.7167,108.5667,Indonesia
City of Calamba,14.2167,121.1667,Philippines
City of Parañaque,14.4667,121.0167,Philippines
Ciudad Guayana,8.3596,-62.6517,Venezuela
Ciudad López Mateos,19.55,-99.2833,Mexico
Ciudad Obregón,27.4939,-109.9389,Mexico
Cleveland,41.4767,-81.6804,United States
Cluj-Napoca,46.7667,23.6,Romania
Cochabamba,-17.3935,-66.157,Bolivia
Cologne,50.9422,6.9578,Germany
Columbus,39.9862,-82.985,United States
Comodoro Rivadavia,-45.8667,-67.5,Argentina
Concepción,-36.82,-73.0445,Chile
Concord,37.9722,-122.0016,United States
Copenhagen,55.6761,12.5689,Denmark
Coventry,52.4081,-1.5106,United Kingdom
Cranbourne,-38.0996,145.2834,Australia
Cuenca,-2.8974,-79.0045,Ecuador
Cuiabá,-15.5958,-56.0969,Brazil
Culiacán,24.8069,-107.3939,Mexico
Curitiba,-25.4297,-49.2719,Brazil
Cà Mau,9.1833,105.15,Vietnam
Córdoba,-31.4167,-64.1833,Argentina
Dadukou,26.5849,101.7149,China
Daejeon,36.351,127.385,"Korea, South"
Dahūk,36.85,42.9833,Iraq
Dakar,14.7319,-17.4572,Senegal
Dallas,32.7936,-96.7662,United States
Dandong,40.1167,124.3833,China
Dangyang,30.8258,111.791,China
Daqing,46.5979,125.008,China
Dasmariñas,14.3294,120.9367,Philippines
Davangere,14.4667,75.9167,India
Dayan,26.8808,100.2208,China
Dayr az Zawr,35.3333,40.15,Syria
Delhi,28.66,77.23,India
Dengtacun,41.42,123.33,China
Denpasar,-8.6667,115.2167,Indonesia
Dera Ghazi Khan,30.05,70.6333,Pakistan
Des Moines,41.5725,-93.6105,United States
Detroit,42.3834,-83.1024,United States
Dhaka,23.7289,90.3944,Bangladesh
Diadema,-23.6858,-46.6228,Brazil
Dingzhou,38.5158,114.9845,China
Dispur,26.15,91.77,India
Dnipro,48.45,34.9833,Ukraine
Doha,25.3,51.5333,Qatar
Donetsk,48.0089,37.8042,Ukraine
Dongguan,23.0475,113.7493,China
Dortmund,51.5139,7.4653,Germany
Douglas,54.15,-4.4819,Isle Of Man
Dubai,25.2697,55.3094,United Arab Emirates
Dublin,53.3497,-6.2603,Ireland
Dunhua,43.3667,128.2333,China
Durango,24.0167,-104.6667,Mexico
Durgāpur,23.55,87.32,India
Durham,35.9794,-78.9031,United States
East London,-33.0153,27.9116,South Africa
Edinburgh,55.953,-3.189,United Kingdom
Eindhoven,51.4408,5.4778,Netherlands
El Kelaa des Srarhna,32.05,-7.4,Morocco
El Obeid,13.1833,30.2167,Sudan
Elazığ,38.6667,39.2167,Turkey
Ensenada,31.8578,-116.6058,Mexico
Eskişehir,39.7767,30.5206,Turkey
Eslāmshahr,35.5333,51.2,Iran
Essen,51.4508,7.0131,Germany
Eşfahān,32.6447,51.6675,Iran
Faisalabad,31.418,73.079,Pakistan
Farg‘ona,40.3864,71.7864,Uzbekistan
Feicheng,36.186,116.772,China
Feira de Santana,-12.2669,-38.9669,Brazil
Fengcheng,40.4543,124.0646,China
Fenyang,37.2652,111.7793,China
Florianópolis,-27.5933,-48.553,Brazil
Flying Fish Cove,-10.4167,105.7167,Christmas Island
Fort Worth,32.7811,-97.3473,United States
Fort-de-France,14.6104,-61.08,Martinique
Fortaleza,-3.7275,-38.5275,Brazil
Foshan,23.0292,113.1056,China
Frankfurt,50.1136,8.6797,Germany
Fresno,36.7831,-119.7941,United States
Fukuyama,34.4858,133.3625,Japan
Funafuti,-8.5167,179.2167,Tuvalu
Fuqing,25.7232,119.3735,China
Fuyu,45.1804,124.82,China
Fuzhou,26.0769,119.2917,China
Fuzhou,27.9814,116.3577,China
Gaizhou,40.4019,122.3499,China
Ganzhou,25.8292,114.9336,China
Gaobeidian,39.3257,115.8678,China
Gaoping,30.7804,106.13,China
Gaoping,35.7911,112.9259,China
Gaziantep,37.0667,37.3833,Turkey
Gdańsk,54.3667,18.6333,Poland
General Santos,6.1167,125.1667,Philippines
George Town,5.4145,100.3292,Malaysia
George Town,19.2866,-81.3744,Cayman Islands
Gifu,35.4167,136.7667,Japan
Glasgow,55.8609,-4.2514,United Kingdom
Gold Coast,-28.0167,153.4,Australia
Gonaïves,19.4456,-72.6883,Haiti
Gorakhpur,26.7611,83.3667,India
Gothenburg,57.6717,11.981,Sweden
Grand Turk,21.4664,-71.136,Turks And Caicos Islands
Greensboro,36.0956,-79.8269,United States
Guadalajara,20.6767,-103.3475,Mexico
Guadalupe,25.6775,-100.2597,Mexico
Guangyuan,32.4353,105.8398,China
Guang’an,30.4673,106.6336,China
Guankou,28.1417,113.625,China
Guayaquil,-2.1833,-79.8833,Ecuador
Guilin,25.2667,110.2833,China
Guiping,23.4,110.0833,China
Gujrat,32.5736,74.0789,Pakistan
Gulbarga,17.3333,76.8333,India
Guli,28.9008,120.0284,China
Guntūr,16.3,80.45,India
Gustavia,17.8958,-62.8508,Saint Barthelemy
Guwāhāti,26.1667,91.7667,India
Gwangju,35.1667,126.9167,"Korea, South"
Gómez Palacio,25.5611,-103.4983,Mexico
Gəncə,40.6828,46.3606,Azerbaijan
Hachiōji,35.6667,139.3167,Japan
Haikou,20.02,110.32,China
Hailun,47.4585,126.9632,China
Hai’an,32.532,120.4604,China
Halifax,44.6475,-63.5906,Canada
Hamhŭng,39.9656,127.4886,"Korea, North"
Hamilton,32.2942,-64.7839,Bermuda
Hanchuan,30.652,113.8274,China
Handan,36.6116,114.4894,China
Hangu,39.232,117.777,China
Hannover,52.3744,9.7386,Germany
Hartford,41.7661,-72.6834,United States
Hatay,36.2,36.15,Turkey
Hechi,23.0965,109.6091,China
Heihe,50.2458,127.4886,China
Hejian,38.4451,116.0897,China
Hejin,35.5914,110.706,China
Helsinki,60.1756,24.9342,Finland
Hempstead,40.6629,-73.6089,United States
Hengshui,37.7348,115.686,China
Hengyang,26.8968,112.5857,China
Herāt,34.3738,62.1792,Afghanistan
Heshan,22.7697,112.9578,China
Hezhou,24.4164,111.5478,China
Ho Chi Minh City,10.8167,106.6333,Vietnam
Hohhot,40.8151,111.6629,China
Homs,34.7333,36.7167,Syria
Homyel’,52.4417,30.9833,Belarus
Hongzhai,35.0476,104.6394,China
Honiara,-9.4333,159.95,Solomon Islands
Hotan,37.1012,79.9327,China
Houston,29.7863,-95.3889,United States
Hpa-An,16.8906,97.6333,Myanmar
Huaihua,27.5494,109.9592,China
Huambo,-12.7667,15.7333,Angola
Huanghua,38.371,117.3329,China
Huanglongsi,34.7936,114.3403,China
Huangshan,29.7132,118.3151,China
Huangshi,30.2018,115.0326,China
Hubli,15.36,75.125,India
Huizhou,23.1115,114.4152,China
Huludao,40.7094,120.8378,China
Huntsville,34.6988,-86.6412,United States
Hwasu-dong,37.2,126.7667,"Korea, South"
Hyderabad City,25.3792,68.3683,Pakistan
Hŭngnam,39.8231,127.6232,"Korea, North"
Hải Dương,20.9399,106.3309,Vietnam
Ichinomiya,35.3039,136.8031,Japan
Iguaçu,-22.74,-43.47,Brazil
Ile-Ife,7.4667,4.5667,Nigeria
Ilorin,8.5,4.55,Nigeria
Incheon,37.4639,126.6486,"Korea, South"
Indianapolis,39.7771,-86.1458,United States
Irapuato,20.6667,-101.35,Mexico
Irbid,32.5556,35.85,Jordan
Irkutsk,52.2833,104.3,Russia
Islip,40.7384,-73.1887,United States
Istanbul,41.01,28.9603,Turkey
Iwaki,37.0333,140.8833,Japan
Izhevsk,56.85,53.2167,Russia
Jabalpur,23.1667,79.9333,India
Jackson,32.3163,-90.2124,United States
Jaipur,26.9167,75.8667,India
Jalandhar,31.3256,75.5792,India
Jambi,-1.59,103.61,Indonesia
Jamestown,-15.9251,-5.7179,"Saint Helena, Ascension, And Tristan Da Cunha"
Jamshedpur,22.8,86.1833,India
Jeju,33.5097,126.5219,"Korea, South"
Jerusalem,31.7833,35.2167,Israel
Jhang City,31.2681,72.3181,Pakistan
Jhānsi,25.4486,78.5696,India
Jianguang,28.1958,115.7833,China
Jiangyin,31.9087,120.2653,China
Jiannan,31.3446,104.1994,China
Jian’ou,27.0387,118.3215,China
Jiaojiangcun,28.6804,121.45,China
Jiaxing,30.7522,120.75,China
Jieyang,23.5533,116.3649,China
Jilin,43.85,126.55,China
Jinchang,38.5168,102.1866,China
Jinghong,22.0057,100.7948,China
Jingling,30.6667,113.1667,China
Jinhua,29.1046,119.6494,China
Jinzhou,41.1144,121.1292,China
Jitpur,27.6666,85.3333,Nepal
Johannesburg,-26.2044,28.0416,South Africa
Joinvile,-26.3039,-48.8458,Brazil
Jos,9.9333,8.8833,Nigeria
Juba,4.85,31.6,South Sudan
Juárez,31.7386,-106.487,Mexico
Jāmnagar,22.47,70.07,India
Kabul,34.5328,69.1658,Afghanistan
Kaduna,10.5231,7.4403,Nigeria
Kagoshima,31.58,130.5281,Japan
Kahramanmaraş,37.5875,36.9453,Turkey
Kaihua,23.3715,104.2437,China
Kaiyuan,23.7147,103.2585,China
Kaiyuan,36.0656,113.8153,China
Kaiyuan,42.538,124.0371,China
Kampala,0.3136,32.5811,Uganda
Kandahār,31.6078,65.7053,Afghanistan
Karachi,24.86,67.01,Pakistan
Karbalā’,32.6167,44.0333,Iraq
Kashgar,39.45,75.9833,China
Kathmandu,27.7167,85.3667,Nepal
Kawanakajima,35.53,139.705,Japan
Kayseri,38.7333,35.4833,Turkey
Keelung,25.1283,121.7419,Taiwan
Kemerovo,55.3333,86.0667,Russia
Kendari,-3.9675,122.5947,Indonesia
Kenitra,34.25,-6.5833,Morocco
Khorramābād,33.4667,48.35,Iran
Kigali,-1.9536,30.0606,Rwanda
Kikwit,-5.0333,18.8167,Congo (Kinshasa)
Kingston,-29.0569,167.9617,Norfolk Island
Kingston upon Hull,53.7444,-0.3325,United Kingdom
Kingstown,13.1667,-61.2333,Saint Vincent And The Grenadines
Kirkuk,35.4667,44.4,Iraq
Kisangani,0.5153,25.1911,Congo (Kinshasa)
Kissimmee,28.3042,-81.4164,United States
Kisumu,-0.1,34.75,Kenya
Kitaku,33.8704,130.82,Japan
Klang,3.0333,101.45,Malaysia
Koshigaya,35.8911,139.7908,Japan
Kota Kinabalu,5.975,116.0725,Malaysia
Kraków,50.0614,19.9372,Poland
Kryvyi Rih,47.9086,33.3433,Ukraine
Kuala Lumpur,3.1478,101.6953,Malaysia
Kuching,1.5397,110.3542,Malaysia
Kuiju,36.8528,119.3904,China
Kulti,23.73,86.85,India
Kumul,42.8322,93.5155,China
Kursk,51.7372,36.1872,Russia
Kyiv,50.45,30.5236,Ukraine
Kyōto,35.0111,135.7669,Japan
Kākināda,16.9333,82.2167,India
Kōbe,34.6913,135.183,Japan
La Florida,-33.55,-70.5667,Chile
Langfang,39.5196,116.7006,China
Lanxi,29.2167,119.4722,China
Lanzhou,36.0617,103.8318,China
Larkana,27.56,68.2264,Pakistan
Las Palmas,28.1272,-15.4314,Spain
Las Vegas,36.2333,-115.2654,United States
Latakia,35.5236,35.7917,Syria
Leeds,53.7997,-1.5492,United Kingdom
Leiyang,26.4179,112.8457,China
Lengshuijiang,27.6858,111.4279,China
Leping,28.9632,117.1203,China
Leshan,29.5854,103.7575,China
Liangshi,27.2578,111.7351,China
Lianjiang,21.6146,110.2794,China
Lianran,24.9211,102.4778,China
Lianyuan,27.6961,111.6659,China
Lianzhou,24.7868,112.3735,China
Liaocheng,36.45,115.9833,China
Liaoyang,41.2643,123.1772,China
Liaoyuan,42.8976,125.1381,China
Licheng,31.4174,119.4786,China
Lichuan,30.2965,108.9378,China
Lilongwe,-13.9833,33.7833,Malawi
Lima,-12.05,-77.0333,Peru
Lincang,23.8864,100.0871,China
Lingyuan,41.2407,119.3957,China
Linyi,35.0606,118.3425,China
Lipa City,13.9411,121.1622,Philippines
Lipetsk,52.6167,39.6,Russia
Lisbon,38.7452,-9.1604,Portugal
Liuzhou,24.3264,109.4281,China
Ljubljana,46.05,14.5167,Slovenia
Lomé,6.1319,1.2228,Togo
London,42.9836,-81.2497,Canada
Longba,33.535,105.349,China
Longyan,25.0881,117.0244,China
Longyearbyen,78.2167,15.6333,Svalbard
Loudi,27.7378,111.9974,China
Luanzhou,39.7396,118.6978,China
Luocheng,22.7645,111.5745,China
Luoyang,34.6587,112.4245,China
Luzhou,28.8918,105.4409,China
Lviv,49.8419,24.0315,Ukraine
Lātūr,18.4004,76.57,India
Macapá,0.033,-51.0653,Brazil
Macau,22.203,113.545,Macau
Machida,35.5486,139.4467,Japan
Madan,30.3307,48.2797,Iran
Madison,43.0826,-89.3931,United States
Madurai,9.9197,78.1194,India
Maebashi,36.3833,139.0667,Japan
Majuro,7.0918,171.3802,Marshall Islands
Makati City,14.55,121.0333,Philippines
Makiivka,48.0556,37.9611,Ukraine
Malabo,3.7521,8.7737,Equatorial Guinea
Malang,-7.98,112.62,Indonesia
Malatya,38.3554,38.3337,Turkey
Malmö,55.5932,13.0214,Sweden
Manchester,53.4794,-2.2453,United Kingdom
Mandalay,21.9769,96.0869,Myanmar
Manhattan,40.7834,-73.9662,United States
Manila,14.6,120.9833,Philippines
Maoming,21.6618,110.9178,China
Maputo,-25.9153,32.5764,Mozambique
Maracaibo,10.6333,-71.6333,Venezuela
Maracay,10.2469,-67.5958,Venezuela
Maringá,-23.425,-51.9389,Brazil
Markham,43.8767,-79.2633,Canada
Maroua,10.5823,14.3275,Cameroon
Marseille,43.2964,5.37,France
Masan,35.1833,128.55,"Korea, South"
Maseru,-29.31,27.48,Lesotho
Mathura,27.4833,77.6833,India
Matola,-25.9667,32.4667,Mozambique
Matsudo,35.7878,139.9031,Japan
Maturín,9.7457,-63.1832,Venezuela
Mazatlán,23.22,-106.42,Mexico
Mazatán,29.0167,-110.1333,Mexico
Mazār-e Sharīf,36.7,67.1167,Afghanistan
Ma’anshan,31.7135,118.3605,China
Mbabane,-26.3208,31.1617,Swaziland
Mbale,1.0806,34.175,Uganda
McAllen,26.2273,-98.2471,United States
Mecca,21.4225,39.8261,Saudi Arabia
Medellín,6.2447,-75.5748,Colombia
Medina,24.4667,39.6,Saudi Arabia
Meerut,28.99,77.7,India
Meicheng,30.6412,116.5689,China
Meizhou,24.2998,116.1191,China
Meknès,33.8833,-5.55,Morocco
Melbourne,-37.8136,144.9631,Australia
Memphis,35.1046,-89.9773,United States
Meru,0.05,37.65,Kenya
Mexico City,19.4333,-99.1333,Mexico
Miami,25.7839,-80.2102,United States
Mianyang,31.4669,104.7385,China
Milan,45.4669,9.19,Italy
Milwaukee,43.0642,-87.9673,United States
Mishan,45.542,131.8666,China
Mississauga,43.6,-79.65,Canada
Miyazaki,31.9167,131.4167,Japan
Mizhou,35.99,119.3801,China
Mobile,30.6783,-88.1162,United States
Mogadishu,2.0408,45.3425,Somalia
Mombasa,-4.05,39.6667,Kenya
Monaco,43.7396,7.4069,Monaco
Monrovia,6.3106,-10.8047,Liberia
Montería,8.76,-75.8856,Colombia
Montes Claros,-16.7322,-43.8636,Brazil
Montevideo,-34.8667,-56.1667,Uruguay
Moroni,-11.7036,43.2536,Comoros
Morādābād,28.8418,78.7568,India
Moscow,55.7558,37.6178,Russia
Muntinlupa City,14.3833,121.05,Philippines
Murrieta,33.572,-117.1909,United States
Muscat,23.6139,58.5922,Oman
Muzaffarnagar,29.4708,77.7033,India
Muzaffarpur,26.12,85.3833,India
Mykolaiv,46.9667,32.0,Ukraine
Mysore,12.3086,76.6531,India
Málaga,36.7194,-4.42,Spain
Mérida,20.97,-89.62,Mexico
Naberezhnyye Chelny,55.7,52.3333,Russia
Nada,19.5,109.5833,China
Naha,26.2122,127.6789,Japan
Nairobi,-1.2864,36.8172,Kenya
Nakuru,-0.2833,36.0667,Kenya
Nam Định,20.42,106.1683,Vietnam
Nampula,-15.1167,39.2667,Mozambique
Nanchong,30.7991,106.0784,China
Nancy,48.6936,6.1846,France
Nangong,37.3606,115.3803,China
Nanjing,32.05,118.7667,China
Nanning,22.8192,108.315,China
Nanping,26.6448,118.1728,China
Nantes,47.2181,-1.5528,France
Nantong,31.9829,120.8873,China
Nashville,36.1715,-86.7843,United States
Nassau,25.0667,-77.3333,"Bahamas, The"
Natal,-6.9838,-60.2699,Brazil
Natal,-5.795,-35.2089,Brazil
Naucalpan de Juárez,19.4753,-99.2378,Mexico
Ndola,-12.9683,28.6337,Zambia
Nehe,48.48,124.8738,China
Neijiang,29.5872,105.0635,China
Nellore,14.4333,79.9667,India
New Delhi,28.7,77.2,India
New Haven,41.3112,-72.9246,United States
New York,40.6943,-73.9249,United States
Newcastle,-32.9167,151.75,Australia
Newcastle,55.0077,-1.6578,United Kingdom
Nezahualcóyotl,19.4,-98.9889,Mexico
Nha Trang,12.2495,109.1908,Vietnam
Niamey,13.5086,2.1111,Niger
Nice,43.7034,7.2663,France
Nicolás Romero,19.5833,-99.3667,Mexico
Niigata,37.9161,139.0364,Japan
Ningbo,29.875,121.5492,China
Ningde,26.6667,119.5167,China
Nizhniy Novgorod,56.3269,44.0075,Russia
Nizhniy Tagil,57.9167,59.9667,Russia
Nizāmābād,18.6704,78.1,India
Nottingham,52.95,-1.15,United Kingdom
Nouakchott,18.0858,-15.9785,Mauritania
Novosibirsk,55.0333,82.9167,Russia
Nuku‘alofa,-21.1347,-175.2083,Tonga
Nuuk,64.175,-51.7333,Greenland
Nāgpur,21.1539,79.0831,India
Okayama,34.65,133.9167,Japan
Oklahoma City,35.4676,-97.5136,United States
Omsk,54.9667,73.3833,Russia
Onitsha,6.1667,6.7833,Nigeria
Orlando,28.4772,-81.3369,United States
Orūmīyeh,37.5486,45.0675,Iran
Osasco,-23.5328,-46.7919,Brazil
Osogbo,7.7667,4.5667,Nigeria
Ouagadougou,12.3572,-1.5353,Burkina Faso
Oujda-Angad,34.69,-1.91,Morocco
Palembang,-2.9833,104.7644,Indonesia
Palermo,2.8883,-75.4339,Colombia
Palermo,38.1157,13.3613,Italy
Palm Bay,27.955,-80.6627,United States
Palm Coast,29.5392,-81.246,United States
Palma,39.5667,2.65,Spain
Palu,-0.895,119.8594,Indonesia
Panama City,9.0,-79.5,Panama
Panshi,42.9392,126.0561,China
Papeete,-17.5334,-149.5667,French Polynesia
Paramaribo,5.8667,-55.1667,Suriname
Parbhani,19.2704,76.76,India
Paris,48.8566,2.3522,France
Patam,1.0678,104.0167,Indonesia
Patna,25.61,85.1414,India
Pavlodar,52.3156,76.9564,Kazakhstan
Pekanbaru,0.5333,101.45,Indonesia
Pelotas,-31.7719,-52.3428,Brazil
Pencheng,29.6792,115.6611,China
Pensacola,30.4427,-87.1886,United States
Penza,53.2,45.0,Russia
Pereira,4.8143,-75.6946,Colombia
Perth,-31.9522,115.8589,Australia
Peshawar,34.0,71.5,Pakistan
Petaling Jaya,3.1073,101.6067,Malaysia
Philadelphia,40.0077,-75.1339,United States
Philipsburg,18.0256,-63.0492,Sint Maarten
Phnom Penh,11.5696,104.921,Cambodia
Pikine,14.75,-17.4,Senegal
Pingxiang,27.6333,113.85,China
Podgorica,42.4397,19.2661,Montenegro
Pohang,36.0322,129.365,"Korea, South"
Pokhara,28.2097,83.9853,Nepal
Poltava,49.5744,34.5686,Ukraine
Port Harcourt,4.75,7.0,Nigeria
Port Louis,-20.1667,57.5,Mauritius
Port Said,31.25,32.2833,Egypt
Port St. Lucie,27.2796,-80.3883,United States
Port of Spain,10.6667,-61.5167,Trinidad And Tobago
Port-au-Prince,18.5425,-72.3386,Haiti
Portland,45.5372,-122.65,United States
Porto Alegre,-30.0328,-51.23,Brazil
Porto Velho,-8.7619,-63.9039,Brazil
Praia,14.9177,-23.5092,Cabo Verde
Pretoria,-25.7464,28.1881,South Africa
Pristina,42.6667,21.1667,Kosovo
Pudong,31.2231,121.5397,China
Puebla,19.0333,-98.1833,Mexico
Puente Alto,-33.6167,-70.5833,Chile
Pune,18.5196,73.8553,India
Puning,23.2993,116.1586,China
Putian,25.4394,119.0103,China
Puxi,35.2125,114.735,China
Pyeongtaek,36.9947,127.0889,"Korea, South"
Pyongyang,39.03,125.73,"Korea, North"
Pétion-Ville,18.5098,-72.2856,Haiti
Pānihāti,22.69,88.37,India
Qaraghandy,49.8,73.1167,Kazakhstan
Qianxi,27.0284,106.0327,China
Qinbaling,35.7278,107.64,China
Qincheng,34.5809,105.7311,China
Qingdao,36.1167,120.4,China
Qingnian,36.8494,115.7061,China
Qingping,34.538,113.3796,China
Qingyang,24.8141,118.5792,China
Qingyuan,23.6842,113.0507,China
Qingzhen,26.5555,106.4646,China
Qingzhou,36.6967,118.4797,China
Qinhuangdao,39.9398,119.5881,China
Qionghu,28.8417,112.3595,China
Qom,34.6461,50.8789,Iran
Qoqon,40.5404,70.94,Uzbekistan
Quanzhou,24.9139,118.5858,China
